ISim log file
Running: G:\Verilog\P5_5\mipstest_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb G:/Verilog/P5_5/mipstest_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                   9@00003000: $ 8 <= 00002333
                  11@00003004: $ 9 <= 00000666
                  11@00003008: *00000004 <= 00002333
                  15@0000300c: $10 <= 00002999
                  17@00003010: $11 <= 00002fff
                  19@00003014: $10 <= 00000000
                  21@00003018: $11 <= 00000000
                  23@0000301c: $10 <= 00002999
                  25@00003020: $11 <= 00002fff
                  27@00003024: $10 <= 00000000
                  29@00003028: $11 <= 00000000
                  31@0000302c: $10 <= 00001ccd
                  35@00003034: $11 <= 00002333
                  37@00003038: $10 <= 00000000
                  39@0000303c: $11 <= 00000000
                  41@00003040: $10 <= 00001ccd
                  45@00003048: $11 <= 00002333
                  47@0000304c: $10 <= 00000000
                  49@00003050: $11 <= 00000000
                  51@00003054: $10 <= 00000111
                  53@00003058: $11 <= 00000777
                  55@0000305c: $10 <= 00000000
                  57@00003060: $11 <= 00000000
                  59@00003064: $10 <= 00000111
                  61@00003068: $11 <= 00000777
                  63@0000306c: $10 <= 00000000
                  65@00003070: $11 <= 00000000
                  67@00003074: $10 <= ffff0000
                  71@0000307c: $11 <= ffff2333
                  73@00003080: $10 <= 00000000
                  75@00003084: $11 <= 00000000
                  77@00003088: $10 <= ffff0000
                  81@00003090: $11 <= ffff2333
                  83@00003094: $10 <= 00000000
                  85@00003098: $11 <= 00000000
                  87@0000309c: $10 <= 00002333
                  91@000030a0: $11 <= 00002999
                  93@000030a4: $10 <= 00000000
                  95@000030a8: $11 <= 00000000
                  97@000030ac: $10 <= 00002333
                 101@000030b0: $11 <= 00002999
                 103@000030b4: $10 <= 00000000
                 105@000030b8: $11 <= 00000000
                 107@000030bc: $10 <= 00002333
                 111@000030c4: $11 <= 00002999
                 113@000030c8: $10 <= 00000000
                 115@000030cc: $11 <= 00000000
                 117@000030d0: $10 <= 00002333
                 121@000030d8: $11 <= 00002999
                 123@000030dc: $10 <= 00000000
                 125@000030e0: $11 <= 00000000
                 127@000030e4: $10 <= 00002333
                 135@000030f4: $10 <= 00000000
                 137@000030f8: $10 <= 00002333
                 145@00003108: $10 <= 00000000
                 147@0000310c: $10 <= 00002333
                 155@00003120: $10 <= 00000000
                 157@00003124: $10 <= 00002333
                 165@00003138: $10 <= 00000000
                 167@0000313c: $10 <= 00002333
                 175@0000314c: $10 <= 00000000
                 177@00003150: $10 <= 00002333
                 185@00003160: $10 <= 00000000
                 187@00003164: $10 <= 00002333
                 195@00003178: $10 <= 00000000
                 197@0000317c: $10 <= 00002333
                 205@00003190: $10 <= 00000000
                 207@00003194: $10 <= 00002333
                 217@000031a4: $10 <= 00000000
                 219@000031a8: $10 <= 00002333
                 229@000031b8: $10 <= 00000000
                 231@000031bc: $10 <= 00002333
                 241@000031d0: $10 <= 00000000
                 243@000031d4: $10 <= 00002333
                 253@000031e8: $10 <= 00000000
                 259@000031f8: $11 <= 00002333
                 261@000031fc: $11 <= eeee0000
                 263@00003200: $11 <= eeeeeeee
                 265@00003204: $31 <= 0000320c
                 267@00003208: $10 <= abcd0000
                 271@00003214: $10 <= 00000000
                 273@0000320c: $10 <= ffff0000
                 277@00003214: $10 <= 00000000
                 279@0000320c: $10 <= ffff0000
                 283@00003214: $10 <= 00000000
                 285@0000320c: $10 <= ffff0000
                 289@00003214: $10 <= 00000000
                 291@0000320c: $10 <= ffff0000
                 295@00003214: $10 <= 00000000
                 297@0000320c: $10 <= ffff0000
                 301@00003214: $10 <= 00000000
                 303@0000320c: $10 <= ffff0000
                 307@00003214: $10 <= 00000000
                 309@0000320c: $10 <= ffff0000
                 313@00003214: $10 <= 00000000
                 315@0000320c: $10 <= ffff0000
                 319@00003214: $10 <= 00000000
                 321@0000320c: $10 <= ffff0000
                 325@00003214: $10 <= 00000000
                 327@0000320c: $10 <= ffff0000
                 331@00003214: $10 <= 00000000
                 333@0000320c: $10 <= ffff0000
                 337@00003214: $10 <= 00000000
                 339@0000320c: $10 <= ffff0000
                 343@00003214: $10 <= 00000000
                 345@0000320c: $10 <= ffff0000
                 349@00003214: $10 <= 00000000
                 351@0000320c: $10 <= ffff0000
                 355@00003214: $10 <= 00000000
                 357@0000320c: $10 <= ffff0000
                 361@00003214: $10 <= 00000000
                 363@0000320c: $10 <= ffff0000
                 367@00003214: $10 <= 00000000
                 369@0000320c: $10 <= ffff0000
                 373@00003214: $10 <= 00000000
                 375@0000320c: $10 <= ffff0000
                 379@00003214: $10 <= 00000000
                 381@0000320c: $10 <= ffff0000
                 385@00003214: $10 <= 00000000
                 387@0000320c: $10 <= ffff0000
                 391@00003214: $10 <= 00000000
                 393@0000320c: $10 <= ffff0000
                 397@00003214: $10 <= 00000000
                 399@0000320c: $10 <= ffff0000
                 403@00003214: $10 <= 00000000
                 405@0000320c: $10 <= ffff0000
                 409@00003214: $10 <= 00000000
                 411@0000320c: $10 <= ffff0000
                 415@00003214: $10 <= 00000000
                 417@0000320c: $10 <= ffff0000
                 421@00003214: $10 <= 00000000
                 423@0000320c: $10 <= ffff0000
                 427@00003214: $10 <= 00000000
                 429@0000320c: $10 <= ffff0000
                 433@00003214: $10 <= 00000000
                 435@0000320c: $10 <= ffff0000
                 439@00003214: $10 <= 00000000
                 441@0000320c: $10 <= ffff0000
                 445@00003214: $10 <= 00000000
                 447@0000320c: $10 <= ffff0000
                 451@00003214: $10 <= 00000000
                 453@0000320c: $10 <= ffff0000
                 457@00003214: $10 <= 00000000
                 459@0000320c: $10 <= ffff0000
                 463@00003214: $10 <= 00000000
                 465@0000320c: $10 <= ffff0000
                 469@00003214: $10 <= 00000000
                 471@0000320c: $10 <= ffff0000
                 475@00003214: $10 <= 00000000
                 477@0000320c: $10 <= ffff0000
                 481@00003214: $10 <= 00000000
                 483@0000320c: $10 <= ffff0000
                 487@00003214: $10 <= 00000000
                 489@0000320c: $10 <= ffff0000
                 493@00003214: $10 <= 00000000
                 495@0000320c: $10 <= ffff0000
                 499@00003214: $10 <= 00000000
                 501@0000320c: $10 <= ffff0000
                 505@00003214: $10 <= 00000000
                 507@0000320c: $10 <= ffff0000
                 511@00003214: $10 <= 00000000
                 513@0000320c: $10 <= ffff0000
                 517@00003214: $10 <= 00000000
                 519@0000320c: $10 <= ffff0000
                 523@00003214: $10 <= 00000000
                 525@0000320c: $10 <= ffff0000
                 529@00003214: $10 <= 00000000
                 531@0000320c: $10 <= ffff0000
                 535@00003214: $10 <= 00000000
                 537@0000320c: $10 <= ffff0000
                 541@00003214: $10 <= 00000000
                 543@0000320c: $10 <= ffff0000
                 547@00003214: $10 <= 00000000
                 549@0000320c: $10 <= ffff0000
                 553@00003214: $10 <= 00000000
                 555@0000320c: $10 <= ffff0000
                 559@00003214: $10 <= 00000000
                 561@0000320c: $10 <= ffff0000
                 565@00003214: $10 <= 00000000
                 567@0000320c: $10 <= ffff0000
                 571@00003214: $10 <= 00000000
                 573@0000320c: $10 <= ffff0000
                 577@00003214: $10 <= 00000000
                 579@0000320c: $10 <= ffff0000
                 583@00003214: $10 <= 00000000
                 585@0000320c: $10 <= ffff0000
                 589@00003214: $10 <= 00000000
                 591@0000320c: $10 <= ffff0000
                 595@00003214: $10 <= 00000000
                 597@0000320c: $10 <= ffff0000
                 601@00003214: $10 <= 00000000
                 603@0000320c: $10 <= ffff0000
                 607@00003214: $10 <= 00000000
                 609@0000320c: $10 <= ffff0000
                 613@00003214: $10 <= 00000000
                 615@0000320c: $10 <= ffff0000
                 619@00003214: $10 <= 00000000
                 621@0000320c: $10 <= ffff0000
                 625@00003214: $10 <= 00000000
                 627@0000320c: $10 <= ffff0000
                 631@00003214: $10 <= 00000000
                 633@0000320c: $10 <= ffff0000
                 637@00003214: $10 <= 00000000
                 639@0000320c: $10 <= ffff0000
                 643@00003214: $10 <= 00000000
                 645@0000320c: $10 <= ffff0000
                 649@00003214: $10 <= 00000000
                 651@0000320c: $10 <= ffff0000
                 655@00003214: $10 <= 00000000
                 657@0000320c: $10 <= ffff0000
                 661@00003214: $10 <= 00000000
                 663@0000320c: $10 <= ffff0000
                 667@00003214: $10 <= 00000000
                 669@0000320c: $10 <= ffff0000
                 673@00003214: $10 <= 00000000
                 675@0000320c: $10 <= ffff0000
                 679@00003214: $10 <= 00000000
                 681@0000320c: $10 <= ffff0000
                 685@00003214: $10 <= 00000000
                 687@0000320c: $10 <= ffff0000
                 691@00003214: $10 <= 00000000
                 693@0000320c: $10 <= ffff0000
                 697@00003214: $10 <= 00000000
                 699@0000320c: $10 <= ffff0000
                 703@00003214: $10 <= 00000000
                 705@0000320c: $10 <= ffff0000
                 709@00003214: $10 <= 00000000
                 711@0000320c: $10 <= ffff0000
                 715@00003214: $10 <= 00000000
                 717@0000320c: $10 <= ffff0000
                 721@00003214: $10 <= 00000000
                 723@0000320c: $10 <= ffff0000
                 727@00003214: $10 <= 00000000
                 729@0000320c: $10 <= ffff0000
                 733@00003214: $10 <= 00000000
                 735@0000320c: $10 <= ffff0000
                 739@00003214: $10 <= 00000000
                 741@0000320c: $10 <= ffff0000
                 745@00003214: $10 <= 00000000
                 747@0000320c: $10 <= ffff0000
                 751@00003214: $10 <= 00000000
                 753@0000320c: $10 <= ffff0000
                 757@00003214: $10 <= 00000000
                 759@0000320c: $10 <= ffff0000
                 763@00003214: $10 <= 00000000
                 765@0000320c: $10 <= ffff0000
                 769@00003214: $10 <= 00000000
                 771@0000320c: $10 <= ffff0000
                 775@00003214: $10 <= 00000000
                 777@0000320c: $10 <= ffff0000
                 781@00003214: $10 <= 00000000
                 783@0000320c: $10 <= ffff0000
                 787@00003214: $10 <= 00000000
                 789@0000320c: $10 <= ffff0000
                 793@00003214: $10 <= 00000000
                 795@0000320c: $10 <= ffff0000
                 799@00003214: $10 <= 00000000
                 801@0000320c: $10 <= ffff0000
                 805@00003214: $10 <= 00000000
                 807@0000320c: $10 <= ffff0000
                 811@00003214: $10 <= 00000000
                 813@0000320c: $10 <= ffff0000
                 817@00003214: $10 <= 00000000
                 819@0000320c: $10 <= ffff0000
                 823@00003214: $10 <= 00000000
                 825@0000320c: $10 <= ffff0000
                 829@00003214: $10 <= 00000000
                 831@0000320c: $10 <= ffff0000
                 835@00003214: $10 <= 00000000
                 837@0000320c: $10 <= ffff0000
                 841@00003214: $10 <= 00000000
                 843@0000320c: $10 <= ffff0000
                 847@00003214: $10 <= 00000000
                 849@0000320c: $10 <= ffff0000
                 853@00003214: $10 <= 00000000
                 855@0000320c: $10 <= ffff0000
                 859@00003214: $10 <= 00000000
                 861@0000320c: $10 <= ffff0000
                 865@00003214: $10 <= 00000000
                 867@0000320c: $10 <= ffff0000
                 871@00003214: $10 <= 00000000
                 873@0000320c: $10 <= ffff0000
                 877@00003214: $10 <= 00000000
                 879@0000320c: $10 <= ffff0000
                 883@00003214: $10 <= 00000000
                 885@0000320c: $10 <= ffff0000
